id,key,value,type
153340151,ele,192,regular
153340151,gnis:Class,Populated Place,regular
153340151,gnis:County,Rutherford,regular
153340151,gnis:County_num,149,regular
153340151,gnis:ST_alpha,TN,regular
153340151,gnis:ST_num,47,regular
153340151,id,1313028,gnis
153340151,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153340151,is_in,"Rutherford,Tennessee,Tenn.,TN,USA",regular
153340151,name,Brookhill,regular
153340151,place,hamlet,regular
153344677,ele,174,regular
153344677,gnis:Class,Populated Place,regular
153344677,gnis:County,Rutherford,regular
153344677,gnis:County_num,149,regular
153344677,gnis:ST_alpha,TN,regular
153344677,gnis:ST_num,47,regular
153344677,id,1313044,gnis
153344677,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153344677,is_in,"Rutherford,Tennessee,Tenn.,TN,USA",regular
153344677,name,Creekside,regular
153344677,place,hamlet,regular
153344696,ele,183,regular
153344696,gnis:Class,Populated Place,regular
153344696,gnis:County,Rutherford,regular
153344696,gnis:County_num,149,regular
153344696,gnis:ST_alpha,TN,regular
153344696,gnis:ST_num,47,regular
153344696,id,1313106,gnis
153344696,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153344696,is_in,"Rutherford,Tennessee,Tenn.,TN,USA",regular
153344696,name,Lascassas Villa,regular
153344696,place,hamlet,regular
153348962,ele,177,regular
153348962,gnis:Class,Populated Place,regular
153348962,gnis:County,Rutherford,regular
153348962,gnis:County_num,149,regular
153348962,gnis:ST_alpha,TN,regular
153348962,gnis:ST_num,47,regular
153348962,id,1313019,gnis
153348962,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153348962,is_in,"Rutherford,Tennessee,Tenn.,TN,USA",regular
153348962,name,Battleground Estates,regular
153348962,place,hamlet,regular
153350781,ele,155,regular
153350781,gnis:Class,Populated Place,regular
153350781,gnis:County,Rutherford,regular
153350781,gnis:County_num,149,regular
153350781,gnis:ST_alpha,TN,regular
153350781,gnis:ST_num,47,regular
153350781,id,1647688,gnis
153350781,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153350781,is_in,"Rutherford,Tennessee,Tenn.,TN,USA",regular
153350781,name,Hickory Grove,regular
153350781,place,hamlet,regular
153350802,ele,183,regular
153350802,gnis:Class,Populated Place,regular
153350802,gnis:County,Rutherford,regular
153350802,gnis:County_num,149,regular
153350802,gnis:ST_alpha,TN,regular
153350802,gnis:ST_num,47,regular
153350802,id,1313094,gnis
153350802,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
